resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Ski Sundown, CT",Connecticut,1075,450,625,5,15,65,0.5,32.5,0.25,16.25,0.25,16.25,41.6,-73.09,141
"Woodbury, CT",Connecticut,850,550,300,6,15,100,0.33,33,0.34,34,0.33,33,41.55,-73.22,62
"Bald Mountain, ID",Idaho,4800,4000,684,2,,140,0.25,35,0.4,56,0.35,49,43.69022,-114.38964,150
"Bogus Basin, ID",Idaho,7582,5800,1800,8,66,2600,0.22,572,0.45,1170,0.33,858,43.76518,-116.10782,276
"Brundage, ID",Idaho,7640,5840,1800,5,46,1500,0.3,450,0.5,750,0.2,300,44.90731,-116.11054,275
"Cottonwood Butte, ID",Idaho,5565,4280,845,2,7,260,0.28,72.8,0.29,75.4,0.43,111.8,46.04735,-116.34868,175
"Little Ski Hill, ID",Idaho,5700,,405,1,5,40,0.35,14,0.45,18,0.2,8,44.93,-116.16,93
"Magic Mountain, ID",Idaho,7240,6500,700,3,11,120,0.3,36,0.25,30,0.45,54,42.2,-114.41,152
"Pebble Creek, ID",Idaho,8560,6300,2200,3,54,1100,0.12,132,0.35,385,0.53,583,42.76288,-112.07612,308
"Snowhaven, ID",Idaho,5600,5200,400,2,9,40,0.75,30,0.25,10,0,0,45.87,-116.09,85
"Tamarack, ID",Idaho,7700,4900,2800,7,32,900,0.15,135,0.44,396,0.41,369,43.82213,-115.85756,335
"Four Lakes, IL",Illinois,500,400,100,7,5,9,0.3,2.7,0.7,6.3,0,0,41.79,-88.09,3
"Perfect North, IN",Indiana,800,400,400,11,23,100,0.25,25,0.5,50,0.25,25,40.78,-89.62,86
"Black Mountain, ME",Maine,2460,1080,1380,3,35,48,,0,,0,,0,44.40001,-70.45283,235
"Camden Snow Bowl, ME",Maine,1093,150,943,4,11,80,0.2,16,0.6,48,0.2,16,44.21,-69.15,183
"Saddleback, ME",Maine,4120,2460,2000,5,66,220,0.38,83.6,0.29,63.8,0.33,72.6,44.11,-68.54,287
"Sugarloaf, ME",Maine,4237,1417,2820,15,145,1670,0.23,384.1,0.33,551.1,0.44,734.8,44.56,-70.43,336
"Titcomb Mountain, ME",Maine,750,400,350,2,16,45,0.3,13.5,0.4,18,0.3,13.5,44.70799,-70.1156,78
"Wisp, MD",Maryland,3115,2415,700,14,32,132,0.41,54.12,0.28,36.96,0.31,40.92,39.14,-76.7,158
"Blanford, MA",Massachusetts ,1685,1220,465,5,22,158,0.4,63.2,0.5,79,0.1,15.8,42.34845,-71.08832,104
"Nashoba Valley, MA",Massachusetts ,440,200,240,9,17,59,0.2,11.8,0.47,27.73,0.33,19.47,42.48,-71.49,33
"Ski Bradford, MA",Massachusetts ,1548,1300,248,10,15,48,0.1,4.8,0.8,38.4,0.1,4.8,42.33609,-71.07638,36
"Ski Butternut, MA",Massachusetts ,1800,800,1000,11,22,110,0.2,22,0.6,66,0.2,22,42.74432,-71.44896,202
"Ski Ward, MA ",Massachusetts ,410,200,220,6,9,45,0.3,13.5,0.6,27,0.1,4.5,42.4,-71.39,22
"Alpine Valley, MI",Michigan,1210,910,300,14,25,118,0.39,46.02,0.26,30.68,0.35,41.3,45.268,-85.02542,55
"Apple Mountain, MI",Michigan,620,600,220,5,12,40,0.4,16,0.4,16,0.2,8,43.46,-84.1,21
"Bittersweet, MI",Michigan,,,350,12,20,110,0.3,33,0.6,66,0.1,11,43.38,-85.78,76
"Boyne Highlands, MI",Michigan,1290,745,552,8,55,435,0.37,160.95,0.29,126.15,0.34,147.9,45.47,-84.94,131
"Boyne Mountain, MI",Michigan,1120,620,500,10,60,415,0.29,120.35,0.41,170.15,0.3,124.5,45.17,-84.94,115
"Hanson Hills, MI",Michigan,,,225,4,11,125,0.5,62.5,0.5,62.5,,0,42.33273,-85.55225,24
"Mt. Brighton, MI",Michigan,1331,1100,230,18,26,130,0.3,39,0.4,52,0.3,39,42.53,-83.82,28
"Mt. Holly, MI",Michigan,,,350,14,18,100,0.22,22,0.39,39,0.39,39,42.82,-83.58,77
"Mulligan's Hollow, MI",Michigan,1300,870,330,5,6,7,0.5,3.5,0.5,3.5,,0,43.06,-86.22,71
"Petoskey, MI",Michigan,,,200,1,1,36,,0,1,36,,0,45.37288,-84.94854,16
"Pine Knob, MI",Michigan,1300,1000,300,12,17,85,0.3,25.5,0.35,29.75,0.35,29.75,43,-85.48195648,58
"Shanty Creek , MI",Michigan,1125,675,450,12,55,400,0.37,148,0.3,120,0.33,132,42.97837,-85.91402,100
"Swiss Valley, MI",Michigan,1200,975,225,7,11,60,0.2,12,0.6,36,0.2,12,43.95893,-85.38396,23
"The Homestead, MI",Michigan,875,500,375,5,15,16,0.25,4,0.55,8.8,0.2,3.2,42.73,-85.65,83
"Timber Ridge, MI ",Michigan,,,240,10,15,50,0.2,10,0.7,35,0.1,5,45.08,-85.11,32
"Afton Alps, MN",Minnesota,700,350,350,21,48,300,0.2,60,0.6,180,0.2,60,44.85,-92.79,74
"Andes Tower, MN",Minnesota,,,275,4,16,45,0.35,15.75,0.35,15.75,0.3,13.5,46.73,-94.69,46
"Buck Hill, MN",Minnesota,,,310,9,16,45,0.4,18,0.4,18,0.2,9,44.72,-93.28,67
